"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$19,229,375,163","2.28%","19.72","3.11","22.63"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$19,199,128,220","0.57%","33.45","6.30","4.68"
"SBNY","Signature Bank","Common stocks","Large cap","Financials","$19,183,544,201","0.71%","21.55","9.59","2.42"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$19,115,583,169","1.29%","21.53","2.92","6.16"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$19,115,007,714","0.00%","-3.69","12.48","3.82"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$19,085,874,140","0.67%","30.09","3.60","18.27"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$19,063,848,174","0.00%","34.84","4.25","4.36"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$18,722,560,721","0.00%","29.33","5.41","4.22"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$18,473,826,172","0.00%","10.91","3.36","4.14"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$18,445,103,428","0.00%","22.19","6.51","6.50"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$18,418,884,962","0.02%","15.21","1.90","3.05"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$18,303,894,366","2.25%","13.15","2.19","1.94"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$18,296,375,851","3.55%","10.69","1.28","1.13"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$18,290,669,206","2.50%","124.92","14.17","5.29"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$18,176,256,752","2.58%","20.37","0.96","5.25"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$18,012,209,154","3.26%","13.21","1.26","4.74"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$17,998,027,789","0.00%","38.10","7.73","29.91"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$17,937,255,264","3.56%","35.61","9.46","2.53"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$17,930,464,857","0.20%","37.16","1.38","3.53"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,835,780,411","0.62%","61.50","1.27","2.99"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,783,295,142","1.63%","33.23","3.31","10.26"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$17,722,433,036","1.09%","12.63","1.06","5.12"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$17,610,210,966","0.00%","36.61","4.81","4.57"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,574,373,001","4.07%","18.60","1.29","3.96"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$17,523,257,535","0.00%","111.66","11.01","7.76"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,458,034,541","0.54%","31.96","2.23","1.75"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$17,340,056,010","1.70%","8.71","1.61","2.69"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$17,255,870,381","0.00%","33.22","5.05","4.77"
