"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,621,228,613,420","0.55%","26.61","6.93","37.20"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$2,213,224,906,874","0.80%","31.64","11.97","14.08"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,817,567,105,246","0.00%","11.36","7.05","3.43"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,817,567,105,246","0.00%","10.77","7.05","3.25"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,600,203,723,680","0.00%","49.19","3.41","11.87"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$875,317,245,003","0.00%","164.75","16.26","30.12"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$762,874,695,139","0.00%","4.91","2.15","0.87"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$619,150,000,000","0.06%","67.81","23.00","24.85"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$593,175,386,604","0.00%","12.70","5.03","4.00"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$477,054,685,005","1.14%","27.55","1.67","6.64"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$470,443,800,000","0.65%","27.93","18.47","10.04"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$464,854,610,334","2.38%","22.02","4.96","6.21"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$413,836,177,146","2.69%","8.90","3.40","1.41"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$402,240,115,195","1.52%","29.51","0.70","4.85"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$363,548,760,848","2.30%","25.04","4.64","8.14"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$351,240,289,576","2.02%","21.65","2.32","-209.80"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$347,030,704,196","1.87%","11.32","3.89","1.28"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$335,953,072,390","0.52%","39.08","17.79","45.98"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$334,369,130,042","4.35%","14.46","1.21","1.98"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$312,465,458,832","3.33%","20.16","2.01","2.26"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$305,010,312,587","2.86%","13.95","3.74","3.96"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$280,506,669,741","3.29%","24.40","4.99","18.28"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$271,904,627,944","1.23%","49.08","9.60","30.51"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$260,489,844,743","2.80%","26.66","6.74","11.33"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$253,923,741,414","0.00%","82.88","3.48","2.84"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$246,058,812,724","3.04%","33.09","8.63","10.85"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$245,009,955,269","0.57%","45.13","1.17","12.46"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$233,339,616,560","2.61%","19.66","4.53","5.89"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$223,859,490,383","0.19%","29.83","5.71","5.65"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$222,524,164,646","2.65%","29.55","2.80","13.94"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$219,798,046,942","5.98%","9.66","1.65","2.61"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$215,053,454,200","1.58%","28.82","5.14","-25.06"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$213,734,050,760","1.49%","30.54","4.96","6.03"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$210,337,322,891","1.15%","33.37","3.71","10.08"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$210,265,570,956","2.14%","14.99","1.81","2.21"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$209,893,769,938","0.00%","44.41","13.30","14.47"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$208,305,900,000","0.00%","150.01","7.86","3.73"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$201,300,217,700","0.30%","33.34","6.83","4.63"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$200,012,042,339","0.91%","33.64","4.32","13.91"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$199,398,014,308","3.35%","15.31","3.98","5.22"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$195,705,781,488","1.45%","9.65","2.51","1.04"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$192,173,408,000","2.04%","12.49","1.98","11.30"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$191,954,080,000","2.95%","9.73","2.43","2.03"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$176,579,062,983","2.23%","23.55","7.60","-38.61"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$171,946,210,688","1.81%","17.35","4.77","15.29"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$168,703,796,654","0.82%","30.47","9.11","2.90"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$168,423,506,002","2.59%","11.68","2.99","1.60"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$167,861,089,107","1.70%","25.52","7.70","11.75"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$165,643,682,664","8.75%","8.35","0.98","0.90"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$164,705,954,921","2.41%","21.44","8.98","12.47"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$164,082,665,971","0.00%","32.87","5.53","10.61"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$161,995,494,331","1.90%","45.25","9.49","4.35"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$161,095,939,568","0.00%","52.54","2.01","2.30"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$158,569,057,129","1.40%","41.75","5.15","3.63"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$157,912,866,158","1.28%","18.88","1.64","-32.97"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$153,713,348,066","2.82%","22.13","3.31","4.30"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$147,220,509,394","2.23%","30.08","4.63","2.81"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$145,673,733,852","2.07%","37.61","2.26","1.99"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$144,645,430,161","5.15%","16.01","4.61","-17.73"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$142,486,131,847","1.87%","17.80","0.49","1.87"
"AXP","American Express","Common stocks","Large cap","Financials","$141,976,603,228","0.92%","18.23","3.32","6.58"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$133,950,199,203","0.00%","43.03","8.15","18.15"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$132,851,895,646","3.02%","22.58","5.11","19.86"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$131,643,716,223","0.48%","24.10","3.83","6.94"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$130,666,951,042","0.00%","33.19","5.15","6.37"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$129,828,814,960","0.54%","62.48","11.37","8.70"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$128,432,245,108","1.78%","16.02","2.80","2.85"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$124,600,454,411","0.96%","22.46","2.83","7.12"
"ANTM","Anthem Inc","Common stocks","Large cap","Health Care","$121,093,304,225","0.97%","19.83","0.87","3.36"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$118,806,380,907","1.95%","18.24","2.33","7.18"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$116,599,258,402","0.91%","18.23","4.82","10.04"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$115,928,400,000","1.70%","40.40","24.36","3.14"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$115,075,705,809","5.03%","20.17","2.01","6.13"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$114,924,386,245","2.10%","5.47","1.97","1.05"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$114,233,849,490","2.49%","17.99","1.70","10.37"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$113,485,452,379","3.52%","5.47","1.58","0.56"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$113,336,000,000","0.00%","504.24","19.23","31.39"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$112,652,776,173","2.31%","19.03","5.81","2.97"
"BA","Boeing","Common stocks","Large cap","Industrials","$112,285,293,290","0.00%","-27.09","1.80","-7.59"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$111,755,601,343","2.11%","43.06","11.94","21.76"
"GE","General Electric","Common stocks","Large cap","Industrials","$105,018,219,387","0.33%","-15.55","1.42","2.61"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$103,567,488,318","0.00%","22.24","2.00","7.37"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$102,023,299,887","1.52%","15.05","0.96","8.15"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$101,634,179,129","0.00%","49.66","17.80","8.76"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$100,835,298,000","2.13%","23.46","3.32","-12.19"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$99,671,797,104","0.98%","50.62","5.83","6.78"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$98,498,132,909","0.83%","19.78","5.56","10.35"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$97,041,060,000","0.76%","32.67","11.70","46.89"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$93,934,030,974","6.63%","37.99","4.45","-58.48"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$91,411,261,934","0.55%","45.39","11.76","20.35"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$90,164,452,897","0.25%","12.08","3.04","1.94"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$89,976,995,519","1.51%","10.56","2.20","1.51"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$89,856,083,089","1.83%","32.87","5.80","17.86"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$88,743,939,973","0.00%","77.06","8.10","14.53"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$88,511,698,394","1.49%","34.18","18.87","3.27"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$86,864,914,660","2.12%","19.95","3.02","3.04"
"MMM","3M","Common stocks","Large cap","Industrials","$84,345,759,000","3.96%","14.31","2.39","5.63"
"USB","US Bancorp","Common stocks","Large cap","Financials","$84,127,436,124","3.07%","11.04","3.70","1.53"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$83,719,954,497","1.76%","66.72","9.91","2.29"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$81,934,454,187","3.63%","21.13","3.26","1.64"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$80,839,685,487","1.28%","25.97","4.08","7.41"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$80,791,068,043","2.52%","14.89","4.22","1.45"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$80,629,851,447","0.75%","11.32","1.37","-84.38"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$79,620,036,817","1.04%","21.06","6.36","5.90"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$78,197,966,243","3.18%","12.90","3.52","1.12"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$77,795,857,056","1.69%","14.43","0.45","1.64"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$76,467,401,371","3.13%","68.97","12.06","9.15"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$75,063,468,616","1.02%","18.95","8.19","3.39"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$74,692,605,786","1.29%","44.52","3.75","3.09"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$74,256,680,027","1.66%","29.83","1.53","12.41"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$74,230,094,061","4.75%","11.97","2.72","3.54"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$73,421,715,264","1.10%","16.55","4.44","11.73"
"SO","Southern Co","Common stocks","Large cap","Utilities","$72,530,100,817","3.80%","30.14","3.14","2.56"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$72,442,334,014","0.00%","8.98","4.51","3.86"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$70,687,811,462","0.62%","16.24","3.09","5.00"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$70,262,604,180","0.00%","46.84","13.43","12.07"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$69,690,941,955","1.60%","21.93","6.25","4.83"
"AON","Aon Plc","Common stocks","Large cap","Financials","$69,609,617,028","0.64%","55.90","5.71","66.12"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$68,999,855,061","1.64%","14.53","3.51","3.06"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$67,812,181,544","0.00%","5.91","3.67","5.10"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$66,936,509,299","1.46%","9.54","1.88","5.17"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$66,853,816,822","3.05%","20.10","4.79","4.11"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$66,146,496,366","2.22%","24.66","4.58","18.33"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$66,049,602,077","0.00%","49.79","4.07","2.15"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$65,306,447,135","1.62%","132.81","9.84","6.10"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$65,215,696,992","1.20%","3.70","0.48","1.37"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$64,522,130,922","1.52%","35.54","3.60","9.06"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$64,490,751,358","0.91%","35.15","3.23","26.89"
"PSA","Public Storage","REITs","Large cap","Real Estate","$64,141,982,870","2.17%","35.69","18.78","6.87"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$64,052,611,663","1.73%","19.57","1.34","3.57"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$64,012,158,373","2.05%","19.63","1.66","3.62"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$63,644,172,750","0.00%","27.07","8.40","6.28"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$63,438,911,573","0.00%","6.62","0.50","1.09"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$63,145,804,989","2.38%","28.02","3.62","99.64"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$63,075,499,518","0.00%","64.12","5.31","3.80"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$61,690,372,000","1.98%","28.94","3.14","3.78"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$61,473,840,314","0.60%","22.75","6.98","3.49"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$60,407,710,589","1.31%","11.30","0.66","2.37"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$59,659,946,529","0.79%","27.73","9.59","22.52"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$58,629,772,381","1.30%","27.55","3.28","2.55"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$58,544,314,078","1.59%","4.92","1.93","0.96"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$58,101,802,159","2.96%","50.27","4.75","2.66"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$58,033,035,306","1.71%","140.07","4.18","1.23"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$56,807,001,000","2.12%","20.95","3.06","5.63"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$56,245,583,893","2.79%","8.89","0.87","0.84"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$55,905,194,257","0.63%","19.04","0.67","3.47"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$55,877,514,648","0.00%","50.83","4.03","39.51"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$55,828,393,175","1.26%","29.85","2.43","3.74"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$54,185,052,002","0.28%","34.52","2.09","2.58"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$53,143,737,095","1.14%","18.42","6.51","13.59"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$53,106,820,000","0.00%","71.41","11.73","5.06"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$51,424,941,498","0.75%","21.77","1.51","8.50"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$51,281,345,579","0.00%","10.57","0.41","1.91"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$50,673,508,799","2.60%","23.59","4.63","3.72"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$50,598,336,232","2.08%","5.41","0.98","0.77"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$49,821,865,864","1.33%","27.00","4.50","7.74"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$49,760,933,820","3.49%","39.80","3.87","1.92"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$49,226,635,327","1.15%","43.43","3.87","6.79"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$48,804,271,552","0.00%","84.80","14.60","65.83"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Industrials","$48,786,397,713","0.50%","42.93","8.01","4.28"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$48,032,865,012","1.67%","25.78","2.70","2.46"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$47,901,676,990","3.16%","19.08","2.85","2.12"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$47,512,364,720","1.09%","22.51","2.57","4.01"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$47,098,315,402","1.79%","17.43","0.55","2.10"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$46,708,555,812","0.00%","21.23","3.50","-691.83"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$46,549,664,904","0.00%","53.60","10.33","9.04"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$46,196,192,663","4.17%","45.49","1.77","0.93"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$46,192,795,003","4.38%","7.26","0.84","2.52"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$45,993,232,697","0.00%","93.26","10.49","54.59"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$45,590,620,301","1.76%","29.43","1.88","2.67"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,471,507,566","0.83%","28.89","4.18","7.23"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$45,318,293,084","2.08%","36.13","10.46","14.82"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$44,406,850,213","0.00%","61.36","13.81","66.24"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$44,178,537,640","0.62%","31.73","0.17","-35.16"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$44,138,655,749","0.00%","293.68","18.03","20.18"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$43,829,352,295","0.00%","68.16","5.81","19.37"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$43,718,877,514","1.93%","11.96","1.26","1.51"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$43,390,400,000","3.97%","5.64","0.61","0.70"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$43,288,729,674","1.50%","17.86","2.84","3.96"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$43,258,624,813","5.58%","19.14","8.45","12.79"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$43,094,019,512","2.97%","4.49","0.36","1.34"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$43,025,032,820","1.68%","20.38","4.80","10.92"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$42,619,880,897","0.00%","44.99","3.07","7.19"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,586,951,260","2.63%","24.85","1.17","1.23"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$42,521,155,520","0.00%","63.31","14.23","16.08"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$42,381,148,347","2.51%","11.89","2.71","0.98"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$42,189,080,853","0.00%","103.34","7.29","-51.61"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$41,932,820,781","0.92%","44.60","6.51","7.40"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$41,622,397,325","1.36%","46.28","4.80","3.30"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,620,215,334","1.34%","32.24","3.68","4.63"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$41,438,211,561","0.00%","30.97","7.48","6.50"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$41,154,199,860","2.62%","122.65","8.74","2.34"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$41,096,091,170","0.58%","34.68","6.38","8.11"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$40,988,155,842","3.94%","6.36","0.30","1.56"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$40,972,292,868","0.91%","36.11","5.51","11.66"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$40,924,324,692","1.45%","37.69","0.28","4.32"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$40,884,343,354","2.31%","53.02","0.67","34.11"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$40,882,889,751","3.73%","22.45","2.10","55.25"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$40,876,249,038","2.19%","9.46","1.86","1.23"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$40,560,501,590","0.98%","23.08","2.59","1.60"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$40,507,176,562","0.78%","58.25","19.82","-258,683,206.52"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$40,193,670,662","1.08%","24.49","1.95","6.02"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$40,140,090,539","0.00%","16.73","2.57","-12.84"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$39,817,028,821","6.01%","22.06","2.40","1.28"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$39,775,086,953","1.40%","30.85","3.11","4.36"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$39,316,903,569","4.23%","110.02","18.90","1.58"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$39,225,102,168","3.36%","23.46","8.86","2.19"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$38,883,516,362","1.61%","6.08","2.33","1.45"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$38,819,293,559","1.29%","31.49","4.75","-980.20"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$38,778,588,828","0.00%","48.04","13.15","10.15"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$38,327,640,700","5.14%","25.26","3.48","3.35"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$38,204,784,000","3.54%","13.77","3.21","4.18"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$38,134,727,574","3.20%","16.83","2.05","3.84"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$37,931,696,981","2.64%","23.44","2.82","2.40"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$37,906,840,730","0.63%","73.25","11.01","12.15"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$37,622,991,041","0.71%","39.43","4.41","1.49"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$37,112,049,357","1.42%","20.54","2.43","4.26"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$37,075,738,332","0.28%","36.46","7.05","10.25"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$36,772,468,945","0.00%","46.26","7.53","-13.93"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$36,765,901,666","1.54%","26.04","2.60","5.93"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$36,464,860,397","4.32%","39.89","0.32","2.01"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$36,441,066,175","2.48%","25.02","0.72","1.48"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$36,330,586,442","2.55%","5.99","0.56","-16.78"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$36,313,017,765","1.26%","5.37","1.00","2.61"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$36,212,695,200","1.52%","-154.33","1.76","2.01"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$35,621,034,915","0.74%","150.16","15.43","-6.75"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$35,203,403,508","0.54%","55.49","5.41","4.66"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$34,921,365,338","0.00%","24.92","1.33","4.58"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$34,438,625,880","1.18%","38.49","4.20","4.10"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$34,397,406,287","1.73%","22.38","5.22","-4.21"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$34,374,918,981","2.56%","34.15","14.98","3.14"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$34,181,878,644","4.29%","6.00","0.74","2.83"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$34,015,780,096","3.03%","-51.76","3.50","2.32"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$34,002,695,839","4.62%","26.32","0.31","1.80"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$33,576,928,055","2.67%","25.16","13.63","3.05"
